Date,IDXX_sales,EW_sales,COR_sales,CNC_sales,RMD_sales,MTD_sales,HUM_sales,BIIB_sales,DXCM_sales,CAH_sales,STE_sales,WST_sales,ZBH_sales,COO_sales,MRNA_sales,WAT_sales,MOH_sales,BAX_sales,HOLX_sales,LH_sales,DGX_sales,ALGN_sales,PODD_sales,RVTY_sales,VTRS_sales,UHS_sales,TECH_sales,TFX_sales,CTLT_sales,INCY_sales,CRL_sales,SOLV_sales,HSIC_sales,DVA_sales
2015-09-21,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-22,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-24,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-02,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-05,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-06,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-07,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-08,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-09,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-12,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-13,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-14,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-15,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-16,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-19,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-20,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-10-21,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
